period,frame,time_s,team,player_id,x_norm,y_norm
1,1230,49.2,Away,Player17,0.54831,0.79073
1,1230,49.2,Away,Player18,0.41571,0.29192
1,1230,49.2,Away,Player19,0.45495,0.60839
1,1230,49.2,Away,Player20,0.46864,0.73995
1,1230,49.2,Away,Player21,0.39328,0.80239
1,1230,49.2,Away,Player22,0.32333,0.90977
1,1230,49.2,Away,Player23,0.31672,0.67433
1,1230,49.2,Away,Player24,0.32733,0.53623
1,1230,49.2,Away,Ball,0.46378,0.65093
1,1231,49.24,Away,Player25,0.83625,0.5227
1,1231,49.24,Away,Player15,0.5819,0.49128
1,1231,49.24,Away,Player16,0.59272,0.62978
1,1231,49.24,Away,Player17,0.55039,0.78945
1,1231,49.24,Away,Player18,0.41826,0.29295
1,1231,49.24,Away,Player19,0.45687,0.60825
1,1231,49.24,Away,Player20,0.4706,0.73733
1,1231,49.24,Away,Player21,0.39467,0.80135
1,1231,49.24,Away,Player22,0.32487,0.90868
1,1231,49.24,Away,Player23,0.31781,0.67387
1,1231,49.24,Away,Player24,0.3291,0.53582
1,1231,49.24,Away,Ball,0.4664,0.64249
1,1232,49.28,Away,Player25,0.83783,0.52215
1,1232,49.28,Away,Player15,0.58385,0.49035
1,1232,49.28,Away,Player16,0.59452,0.62907
1,1232,49.28,Away,Player17,0.55246,0.78815
1,1232,49.28,Away,Player18,0.42082,0.29398
1,1232,49.28,Away,Player19,0.45879,0.60806
1,1232,49.28,Away,Player20,0.47256,0.73473
1,1232,49.28,Away,Player21,0.39607,0.80032
1,1232,49.28,Away,Player22,0.32643,0.90758
1,1232,49.28,Away,Player23,0.31889,0.67336
1,1232,49.28,Away,Player24,0.33087,0.53535
1,1232,49.28,Away,Ball,0.46903,0.63405
1,1233,49.32,Away,Player25,0.83942,0.52154
1,1233,49.32,Away,Player15,0.5858,0.48936
1,1233,49.32,Away,Player16,0.59632,0.62828
1,1233,49.32,Away,Player17,0.55452,0.78681
1,1233,49.32,Away,Player18,0.42341,0.29506
1,1233,49.32,Away,Player19,0.46071,0.60783
1,1233,49.32,Away,Player20,0.47452,0.73212
1,1233,49.32,Away,Player21,0.39747,0.79924
1,1233,49.32,Away,Player22,0.32799,0.90648
1,1233,49.32,Away,Player23,0.31998,0.67292
1,1233,49.32,Away,Player24,0.33264,0.53483
1,1233,49.32,Away,Ball,0.47165,0.62562
1,1234,49.36,Away,Player25,0.84099,0.52099
1,1234,49.36,Away,Player15,0.58773,0.48832
1,1234,49.36,Away,Player16,0.59812,0.62741
1,1234,49.36,Away,Player17,0.5566,0.78544
1,1234,49.36,Away,Player18,0.42601,0.29612
1,1234,49.36,Away,Player19,0.46264,0.60759
1,1234,49.36,Away,Player20,0.47649,0.72946
1,1234,49.36,Away,Player21,0.39888,0.79817
1,1234,49.36,Away,Player22,0.32956,0.90537
1,1234,49.36,Away,Player23,0.32108,0.67247
1,1234,49.36,Away,Player24,0.33442,0.53434
1,1234,49.36,Away,Ball,0.47428,0.61718
