period,frame,time_s,team,player_id,x_norm,y_norm
1,1230,49.2,Home,Player3,0.25901,0.54651
1,1230,49.2,Home,Player4,0.29302,0.34619
1,1230,49.2,Home,Player5,0.49128,0.89988
1,1230,49.2,Home,Player6,0.36456,0.70334
1,1230,49.2,Home,Player7,0.39318,0.5915
1,1230,49.2,Home,Player8,0.46662,0.36679
1,1230,49.2,Home,Player9,0.58765,0.57607
1,1230,49.2,Home,Player10,0.46177,0.66736
1,1230,49.2,Home,Ball,0.46378,0.65093
1,1231,49.24,Home,Player11,0.05751,0.49429
1,1231,49.24,Home,Player1,0.29475,0.84906
1,1231,49.24,Home,Player2,0.26311,0.69406
1,1231,49.24,Home,Player3,0.26014,0.54599
1,1231,49.24,Home,Player4,0.29467,0.34489
1,1231,49.24,Home,Player5,0.4938,0.89921
1,1231,49.24,Home,Player6,0.36611,0.70256
1,1231,49.24,Home,Player7,0.39476,0.58948
1,1231,49.24,Home,Player8,0.46911,0.36556
1,1231,49.24,Home,Player9,0.58998,0.57652
1,1231,49.24,Home,Player10,0.46336,0.66497
1,1231,49.24,Home,Ball,0.4664,0.64249
1,1232,49.28,Home,Player11,0.05785,0.49418
1,1232,49.28,Home,Player1,0.29612,0.84828
1,1232,49.28,Home,Player2,0.26433,0.69387
1,1232,49.28,Home,Player3,0.26127,0.54545
1,1232,49.28,Home,Player4,0.29633,0.34351
1,1232,49.28,Home,Player5,0.49631,0.89852
1,1232,49.28,Home,Player6,0.36767,0.70177
1,1232,49.28,Home,Player7,0.39635,0.58748
1,1232,49.28,Home,Player8,0.4716,0.36439
1,1232,49.28,Home,Player9,0.59231,0.57698
1,1232,49.28,Home,Player10,0.46497,0.6626
1,1232,49.28,Home,Ball,0.46903,0.63405
1,1233,49.32,Home,Player11,0.05819,0.49407
1,1233,49.32,Home,Player1,0.2975,0.84751
1,1233,49.32,Home,Player2,0.26554,0.69364
1,1233,49.32,Home,Player3,0.26241,0.5449
1,1233,49.32,Home,Player4,0.29801,0.34212
1,1233,49.32,Home,Player5,0.49882,0.89783
1,1233,49.32,Home,Player6,0.36923,0.70097
1,1233,49.32,Home,Player7,0.39795,0.58548
1,1233,49.32,Home,Player8,0.47411,0.36327
1,1233,49.32,Home,Player9,0.59461,0.57744
1,1233,49.32,Home,Player10,0.46661,0.66022
1,1233,49.32,Home,Ball,0.47165,0.62562
1,1234,49.36,Home,Player11,0.05856,0.49397
1,1234,49.36,Home,Player1,0.29888,0.84677
1,1234,49.36,Home,Player2,0.26676,0.6934
1,1234,49.36,Home,Player3,0.26358,0.54438
1,1234,49.36,Home,Player4,0.29971,0.34076
1,1234,49.36,Home,Player5,0.50131,0.8971
1,1234,49.36,Home,Player6,0.37081,0.70017
1,1234,49.36,Home,Player7,0.39954,0.58346
1,1234,49.36,Home,Player8,0.47663,0.36214
1,1234,49.36,Home,Player9,0.59692,0.5779
1,1234,49.36,Home,Player10,0.46825,0.65782
1,1234,49.36,Home,Ball,0.47428,0.61718
